ctype1,status,label,text
INCOME,SUCCESS,INCOME,【上海农商银行】贵司账户8888于8月8日使用单位卡8888ATM转账存入人民币8888元
PAYOUT,SUCCESS,PAYOUT,尊敬的客户，您的住房贷款（贷款账号尾号为8888XX）本期贷款本息（共{8888.88}元）我行已收到，感谢支持！【上海农商银行】
LOAN,SUCCESS,LOAN,尊敬的客户，您的助业贷款（贷款账号尾号为8888XX）本期贷款本息（共{8888.88}元）我行已收到，感谢支持！【上海农商银行】
PAYOUT,SUCCESS,PAYOUT,尊敬的客户，您的助业贷款（贷款账号尾号为8888XX）本期贷款本息（共{8888.88}元）我行已收到，感谢支持！【上海农商银行】
OVERDUES,SUCCESS,OVERDUES,【上海农商银行】尊敬的客户，您的住房贷款（贷款账号尾号为8888XX）本期贷款已逾期，逾期金额为88.88元，请您尽快还款。
OVERDUES,SUCCESS,OVERDUES,尊敬的客户，您的住房贷款（贷款账号尾号为4281XX）本期贷款已逾期，逾期金额为12840.89元，请您尽快还款。
INCOME,SUCCESS,INCOME,【上海农商银行】尊敬的戚雅君女士，您的上海农商银行信用卡于11月30日代发2700.00元，
PAYOUT,SUCCESS,PAYOUT,尊敬的客户，您的住房贷款（贷款账号尾号为8888XX）本期贷款本息（共{8888.88}元）我行已收到，感谢支持！【上海农商银行】
PAYOUT,SUCCESS,PAYOUT,【上海农商银行】您尾号5782信用卡12月1日19:53消费人民币8.00元，单笔消费满500可申请免息分期付款。
LOAN,SUCCESS,LOAN,尊敬的客户，您的住房贷款（贷款账号尾号为4581XX）本期贷款本息（共{2018.81}元）我行已收到，感谢支持！【上海农商银行】
LOAN,SUCCESS,LOAN,尊敬的客户，您的住房贷款（贷款账号尾号为4581XX）本期贷款本息（共{2018.81}元）我行已收到，感谢支持！【上海农商银行】
PAYOUT,SUCCESS,PAYOUT,尊敬的客户，您的住房贷款（贷款账号尾号为4581XX）本期贷款本息（共{2018.81}元）我行已收到，感谢支持！【上海农商银行】
PAYOUT,SUCCESS,PAYOUT,尊敬的客户，您的住房贷款（贷款账号尾号为4581XX）本期贷款本息（共{2018.81}元）我行已收到，感谢支持！【上海农商银行】
STAGING,SUCCESS,STAGING,【上海农商银行】您尾号3709的信用卡于12月1日成功办理一笔6期47797.38元的账单分期，
STAGING,SUCCESS,STAGING,【上海农商银行】您尾号3709的信用卡于12月1日成功办理一笔6期47797.38元的账单分期，
PAYOUT,SUCCESS,PAYOUT,【上海农商银行】您尾号5782信用卡12月1日19:53消费人民币8.00元，单笔消费满500可申请免息分期付款。
PAYOUT,SUCCESS,PAYOUT,【上海农商银行】截至12月01日19时39分，您的上海农商信用卡溢缴9828.82元，可用额度为9828.82元
LOAN,SUCCESS,LOAN,尊敬的客户，您的住房贷款（贷款账号尾号为8888XX）本期贷款本息（共{8888.88}元）我行已收到，感谢支持！【上海农商银行】
INCOME,SUCCESS,INCOME,【上海农商银行】您尾号8888的信用卡于88月88日成功放款一笔88期888888.88元的鑫福金分期，请留意您收款账户的余额情况，
INCOME,SUCCESS,INCOME,【上海农商银行】贵司账户8888于8月8日糖果英语8-8月租金物业转入人民币888888元，付款方：沈秋华，当前余额为888888.88元，
INCOME,SUCCESS,INCOME,【上海农商银行】贵司账户1111于111月111日太保产险标的沪D111111A，直赔标的沪CR1111111111R傅莹凯转入人民币111元，付款方：中国太平洋财产保险股份有限公司，当前余额为11111.11元，
INCOME,SUCCESS,INCOME,【上海农商银行】贵司账户1111于111月111日太保产险标的沪D111111A，直赔标的沪CR1111111111R傅莹凯转入人民币111元，付款方：中国太平洋财产保险股份有限公司，当前余额为11111.11元，
