bank_name,channel,text_id,tid,status,text,re_ori,startTime,loanType,curTimes,paidMoney,deadline,ctype2,ctype1,curShouldRefund,isInitial,isLoan,fee,overAmount,cardNo,sum,returnDate,loanDate,totalAmount,currencyType,totalPeriod,tags,isPayOff,sumMoney,cardLevel,cardType,overDays,accountType,debitNo,curRefund,totalTimes,cardStatus,deadTime,totalCredit,paidPeriod,cardUsage,balance
上海农商银行,上海农商银行,nsShanghai_2~0,nsShanghai_27,SUCCESS,【上海农商银行】贵司账户8888于8月8日使用单位卡8888ATM转账存入人民币8888元,".*贵司账户(\d{3,4})于.*(转入|存入)人民币(\d+\.?\d*)",,,,,,2.0,INCOME,,,,,,8888,8888.0,,,,RMB,,"转账,人民币,存入,",,,GENERAL,DESPOSIT,,COMPANY,,,,,,-1.0,,,-1.0
上海农商银行,上海农商银行,nsShanghai_11~0,nsShanghai_26,SUCCESS,尊敬的客户，您的住房贷款（贷款账号尾号为8888XX）本期贷款本息（共{8888.88}元）我行已收到，感谢支持！【上海农商银行】,.*您的.*贷款（贷款账号尾号为.*）本期贷款本息（共{(\d+\.?\d*)}元）我行已收到,,,,,,4.0,PAYOUT,,,,,,-1,8888.88,,,,RMB,,"收到,贷款,住房贷款,",,,GENERAL,DESPOSIT,,PERSONAL,,,,,,-1.0,,,-1.0
上海农商银行,上海农商银行,nsShanghai_12~0,nsShanghai_12,SUCCESS,尊敬的客户，您的助业贷款（贷款账号尾号为8888XX）本期贷款本息（共{8888.88}元）我行已收到，感谢支持！【上海农商银行】,".*?[您贵].*?贷款.*?尾号为(\d{3,4}).*?贷款本息.*?(-?\d+\.?\d*).*?已收到",,OTHER,,-1.0,,99.0,LOAN,-1.0,0.0,,,,8888,,,-1,,RMB,-1.0,"收到,贷款",-1.0,8888.88,GENERAL,DESPOSIT,,PERSONAL,-1,-1.0,,,,,-1.0,,
上海农商银行,上海农商银行,nsShanghai_12~0,nsShanghai_26,SUCCESS,尊敬的客户，您的助业贷款（贷款账号尾号为8888XX）本期贷款本息（共{8888.88}元）我行已收到，感谢支持！【上海农商银行】,.*您的.*贷款（贷款账号尾号为.*）本期贷款本息（共{(\d+\.?\d*)}元）我行已收到,,,,,,4.0,PAYOUT,,,,,,-1,8888.88,,,,RMB,,"收到,贷款,",,,GENERAL,DESPOSIT,,PERSONAL,,,,,,-1.0,,,-1.0
上海农商银行,上海农商银行,nsShanghai_13~0,nsShanghai_13,SUCCESS,【上海农商银行】尊敬的客户，您的住房贷款（贷款账号尾号为8888XX）本期贷款已逾期，逾期金额为88.88元，请您尽快还款。,".*您的.*?贷款.*?尾号为(\d{3,4}).*?贷款已逾期.*?金额为(-?\d+\.?\d*)",,,-1.0,,,4.0,OVERDUES,,,-1.0,,88.88,8888,,,,-1.0,RMB,,"住房贷款,贷款,逾期,还款,贷款已逾期",,,GENERAL,DESPOSIT,-1.0,PERSONAL,-1,,-1.0,,,,,,
上海农商银行,上海农商银行,nsShanghai_13~1,nsShanghai_13,SUCCESS,尊敬的客户，您的住房贷款（贷款账号尾号为4281XX）本期贷款已逾期，逾期金额为12840.89元，请您尽快还款。,".*您的.*?贷款.*?尾号为(\d{3,4}).*?贷款已逾期.*?金额为(-?\d+\.?\d*)",,,-1.0,,,4.0,OVERDUES,,,-1.0,,12840.89,4281,,,,-1.0,RMB,,"住房贷款,贷款,逾期,还款,贷款已逾期",,,GENERAL,DESPOSIT,-1.0,PERSONAL,-1,,-1.0,,,,,,
上海农商银行,上海农商银行,nsShanghai_14~0,nsShanghai_14,SUCCESS,【上海农商银行】尊敬的戚雅君女士，您的上海农商银行信用卡于11月30日代发2700.00元，,.*您的.*信用卡于.*代发(\d+\.?\d*)元,,,,,,5.0,INCOME,,,,,,-1,2700.0,,,,RMB,,"信用卡,",,,GENERAL,CREDIT,,PERSONAL,,,,,,-1.0,,,-1.0
上海农商银行,上海农商银行,nsShanghai_11~0,nsShanghai_16,SUCCESS,尊敬的客户，您的住房贷款（贷款账号尾号为8888XX）本期贷款本息（共{8888.88}元）我行已收到，感谢支持！【上海农商银行】,.*您的住房贷款.*本期贷款本息（共{(\d+\.?\d*)}元）我行已收到，感谢支持,,,,,,4.0,PAYOUT,,,,,,-1,8888.88,,,,RMB,,"收到,贷款,住房贷款,",,,GENERAL,DESPOSIT,,PERSONAL,,,,,,-1.0,,,-1.0
上海农商银行,上海农商银行,nsShanghai_15~0,nsShanghai_5,SUCCESS,【上海农商银行】您尾号5782信用卡12月1日19:53消费人民币8.00元，单笔消费满500可申请免息分期付款。,".*?您(.{0,10}[卡户折号])(\d{3,4})(.{0,8}[卡户折号])?.*?([^期]消费[^总]|网上交易|取现|[^通宝捷]支付[^宝平]|支出|转出|取出|发生一笔.*?付款).*?人?民币(-?\d+\.?\d*)(.*?(余额|金额[^“”（）]).*?(-?\d+\.?\d*))?",,,,,,7.0,PAYOUT,,,,,,5782,8.0,,,,RMB,,"消费,信用卡,人民币",,,GENERAL,CREDIT,,PERSONAL,,,,,,-1.0,,,-1.0
上海农商银行,上海农商银行,nsShanghai_16~0,nsShanghai_11,SUCCESS,尊敬的客户，您的住房贷款（贷款账号尾号为4581XX）本期贷款本息（共{2018.81}元）我行已收到，感谢支持！【上海农商银行】,".*?[您贵].*?(住房|公积金|经营用房)贷款.*?尾号为(\d{3,4}).*?贷款本息.*?(-?\d+\.?\d*).*?已收到",,FANG,,-1.0,,0.0,LOAN,-1.0,0.0,,,,4581,,,-1,,RMB,-1.0,"收到,贷款,住房贷款",-1.0,2018.81,GENERAL,DESPOSIT,,PERSONAL,-1,-1.0,,,,,-1.0,,
