ctype1,status,label,text,text_cleaned,text_splited
INCOME,SUCCESS,INCOME,【上海农商银行】贵司账户8888于8月8日使用单位卡8888ATM转账存入人民币8888元,贵司账户8888于8月8日使用单位卡8888ATM转账存入人民币8888元,贵司 账户 8888 于 8 月 8 日 使用 单位 卡 8888ATM 转账 存入 人民币 8888 元
PAYOUT,SUCCESS,PAYOUT,尊敬的客户，您的住房贷款（贷款账号尾号为8888XX）本期贷款本息（共{8888.88}元）我行已收到，感谢支持！【上海农商银行】,尊敬的客户 您的住房贷款 贷款账号尾号为8888XX 本期贷款本息 共 8888 88 元 我行已收到 感谢支持 ,尊敬 的 客户   您 的 住房贷款   贷款 账号 尾号 为 8888XX   本期 贷款 本息   共   8888   88   元   我行 已 收到   感谢 支持  
LOAN,SUCCESS,LOAN,尊敬的客户，您的助业贷款（贷款账号尾号为8888XX）本期贷款本息（共{8888.88}元）我行已收到，感谢支持！【上海农商银行】,尊敬的客户 您的助业贷款 贷款账号尾号为8888XX 本期贷款本息 共 8888 88 元 我行已收到 感谢支持 ,尊敬 的 客户   您 的 助业 贷款   贷款 账号 尾号 为 8888XX   本期 贷款 本息   共   8888   88   元   我行 已 收到   感谢 支持  
OVERDUES,SUCCESS,OVERDUES,【上海农商银行】尊敬的客户，您的住房贷款（贷款账号尾号为8888XX）本期贷款已逾期，逾期金额为88.88元，请您尽快还款。,尊敬的客户 您的住房贷款 贷款账号尾号为8888XX 本期贷款已逾期 逾期金额为88 88元 请您尽快还款 ,尊敬 的 客户   您 的 住房贷款   贷款 账号 尾号 为 8888XX   本期 贷款 已 逾期   逾期 金额 为 88   88 元   请 您 尽快 还款  
OVERDUES,SUCCESS,OVERDUES,尊敬的客户，您的住房贷款（贷款账号尾号为4281XX）本期贷款已逾期，逾期金额为12840.89元，请您尽快还款。,尊敬的客户 您的住房贷款 贷款账号尾号为4281XX 本期贷款已逾期 逾期金额为12840 89元 请您尽快还款 ,尊敬 的 客户   您 的 住房贷款   贷款 账号 尾号 为 4281XX   本期 贷款 已 逾期   逾期 金额 为 12840   89 元   请 您 尽快 还款  
INCOME,SUCCESS,INCOME,【上海农商银行】尊敬的戚雅君女士，您的上海农商银行信用卡于11月30日代发2700.00元，,尊敬的戚雅君女士 您的上海农商银行信用卡于11月30日代发2700 00元 ,尊敬 的 戚雅君 女士   您 的 上海 农商 银行 信用卡 于 11 月 30 日 代发 2700   00 元  
PAYOUT,SUCCESS,PAYOUT,【上海农商银行】您尾号5782信用卡12月1日19:53消费人民币8.00元，单笔消费满500可申请免息分期付款。,您尾号5782信用卡12月1日19 53消费人民币8 00元 单笔消费满500可申请免息分期付款 ,您 尾号 5782 信用卡 12 月 1 日 19   53 消费 人民币 8   00 元   单笔 消费 满 500 可 申请 免息 分期付款  
LOAN,SUCCESS,LOAN,尊敬的客户，您的住房贷款（贷款账号尾号为4581XX）本期贷款本息（共{2018.81}元）我行已收到，感谢支持！【上海农商银行】,尊敬的客户 您的住房贷款 贷款账号尾号为4581XX 本期贷款本息 共 2018 81 元 我行已收到 感谢支持 ,尊敬 的 客户   您 的 住房贷款   贷款 账号 尾号 为 4581XX   本期 贷款 本息   共   2018   81   元   我行 已 收到   感谢 支持  
STAGING,SUCCESS,STAGING,【上海农商银行】您尾号3709的信用卡于12月1日成功办理一笔6期47797.38元的账单分期，,您尾号3709的信用卡于12月1日成功办理一笔6期47797 38元的账单分期 ,您 尾号 3709 的 信用卡 于 12 月 1 日 成功 办理 一笔 6 期 47797   38 元 的 账单 分期  
PAYOUT,SUCCESS,PAYOUT,【上海农商银行】截至12月01日19时39分，您的上海农商信用卡溢缴9828.82元，可用额度为9828.82元,截至12月01日19时39分 您的上海农商信用卡溢缴9828 82元 可用额度为9828 82元,截至 12 月 01 日 19 时 39 分   您 的 上海 农商 信用卡 溢缴 9828   82 元   可用 额度 为 9828   82 元
INCOME,SUCCESS,INCOME,【上海农商银行】您尾号8888的信用卡于88月88日成功放款一笔88期888888.88元的鑫福金分期，请留意您收款账户的余额情况，,您尾号8888的信用卡于88月88日成功放款一笔88期888888 88元的鑫福金分期 请留意您收款账户的余额情况 ,您 尾号 8888 的 信用卡 于 88 月 88 日 成功 放款 一笔 88 期 888888   88 元 的 鑫 福金 分期   请 留意 您 收款 账户 的 余额 情况  
INCOME,SUCCESS,INCOME,【上海农商银行】贵司账户8888于8月8日糖果英语8-8月租金物业转入人民币888888元，付款方：沈秋华，当前余额为888888.88元，,贵司账户8888于8月8日糖果英语8 8月租金物业转入人民币888888元 付款方 沈秋华 当前余额为888888 88元 ,贵司 账户 8888 于 8 月 8 日 糖果 英语 8   8 月租金 物业 转入 人民币 888888 元   付款 方   沈秋华   当前 余额 为 888888   88 元  
INCOME,SUCCESS,INCOME,【上海农商银行】贵司账户1111于111月111日太保产险标的沪D111111A，直赔标的沪CR1111111111R傅莹凯转入人民币111元，付款方：中国太平洋财产保险股份有限公司，当前余额为11111.11元，,贵司账户1111于111月111日太保产险标的沪D111111A 直赔标的沪CR1111111111R傅莹凯转入人民币111元 付款方 中国太平洋财产保险股份有限公司 当前余额为11111 11元 ,贵司 账户 1111 于 111 月 111 日 太保 产险 标的 沪 D111111A   直赔 标的 沪 CR1111111111R 傅莹凯 转入 人民币 111 元   付款 方   中国 太平洋 财产保险 股份 有限公司   当前 余额 为 11111   11 元  
INCOME,SUCCESS,INCOME,【上海农商银行】您账户9999借记卡11月11日银联入账1234567898765432天弘基金管理有限公司美元888.88元,您账户9999借记卡11月11日银联入账1234567898765432天弘基金管理有限公司美元888 88元,您 账户 9999 借记卡 11 月 11 日 银联 入账 1234567898765432 天弘 基金 管理 有限公司 美元 888   88 元
INCOME,SUCCESS,INCOME,【上海农商银行】您账户8888借记卡8月8日银联入账余额宝美元8888元,您账户8888借记卡8月8日银联入账余额宝美元8888元,您 账户 8888 借记卡 8 月 8 日 银联 入账 余额 宝 美元 8888 元
INCOME,SUCCESS,INCOME,【上海农商银行】贵司账户8888于8月8日使用单位卡8888ATM转账存入美元8888元,贵司账户8888于8月8日使用单位卡8888ATM转账存入美元8888元,贵司 账户 8888 于 8 月 8 日 使用 单位 卡 8888ATM 转账 存入 美元 8888 元
PAYOUT,SUCCESS,PAYOUT,【上海农商银行】您账户8888于8月8日十一月88.8天工资转出人民币8888.8元，收款方：李红，当前余额为88888.88元，,您账户8888于8月8日十一月88 8天工资转出人民币8888 8元 收款方 李红 当前余额为88888 88元 ,您 账户 8888 于 8 月 8 日 十一月 88   8 天 工资 转 出 人民币 8888   8 元   收款 方   李红   当前 余额 为 88888   88 元  
PAYOUT,SUCCESS,PAYOUT,【上海农商银行】贵司账户9999于11月11日手续费扣收取出人民币888.88元，,贵司账户9999于11月11日手续费扣收取出人民币888 88元 ,贵司 账户 9999 于 11 月 11 日 手续费 扣 收取 出 人民币 888   88 元  
LOAN,SUCCESS,LOAN,【上海农商银行】尊敬的客户，您申请的鑫享贷已于8888年88月88日发放至您指定的收款账户，放款金额88888.88元，,尊敬的客户 您申请的鑫享贷已于8888年88月88日发放至您指定的收款账户 放款金额88888 88元 ,尊敬 的 客户   您 申请 的 鑫 享贷 已于 8888 年 88 月 88 日 发放 至 您 指定 的 收款 账户   放款 金额 88888   88 元  
INCOME,SUCCESS,INCOME,【上海农商银行】贵司账户8888于8月8日糖果英语8-8月租金物业转入美元888888元，付款方：沈秋华，当前余额为888888.88元，,贵司账户8888于8月8日糖果英语8 8月租金物业转入美元888888元 付款方 沈秋华 当前余额为888888 88元 ,贵司 账户 8888 于 8 月 8 日 糖果 英语 8   8 月租金 物业 转入 美元 888888 元   付款 方   沈秋华   当前 余额 为 888888   88 元  
PAYOUT,SUCCESS,PAYOUT,您账户1362于12月1日ATM取款取出人民币200，当前余额为7130.7。,您账户1362于12月1日ATM取款取出人民币200 当前余额为7130 7 ,您 账户 1362 于 12 月 1 日 ATM 取款 取出 人民币 200   当前 余额 为 7130   7  
